Sno,ID,Subject,Subject Code,Type,Year,Branch,Acad Year,Sem,Credits
63,N211083,"Processing of Polymer, Ceramics and Composites",23MM3203,PCC-3,E3,MME,2025-26,Semester II,3
64,N211083,Metal Joining and Non- Destructive Testing Lab,23MM3281,PCC-4,E3,MME,2025-26,Semester II,1.5
65,N211083,Computational Materials Engineering Lab,23MM3282,PCC-5,E3,MME,2025-26,Semester II,1.5
66,N211083,Welding Processes,MMNPTEL01,PEC-1,E3,MME,2025-26,Semester II,3
67,N211083,Minor Project,23MM3291,PROJ,E3,MME,2025-26,Semester II,2.5
68,N211083,Summer Internship,23MM3292,SI,E3,MME,2025-26,Semester II,2.5
69,N230393,Linear Algebra & Numerical Methods,23MA1201,BSC-1,E1,EEE,2025-26,Semester II,4
70,N230393,Computational Lab,23EE1281,BSC-2,E1,EEE,2025-26,Semester II,1.5
71,N230393,Introduction to AI,23EE1202,BSC-3,E1,EEE,2025-26,Semester II,1
72,N230393,Electronics Devices and Circuits,23EC1201,ESC-1,E1,EEE,2025-26,Semester II,4
73,N230393,Electronics Devices and Circuits Lab,23EC1281,ESC-2,E1,EEE,2025-26,Semester II,1.5
74,N230393,English Language communication skills lab1,23EG1281,HSC,E1,EEE,2025-26,Semester II,2.5
75,N230393,Digital Logic Design,23EC2102,PCC-1,E1,EEE,2025-26,Semester II,4
76,N230393,Digital Logic Design Lab,23EC2182,PCC-2,E1,EEE,2025-26,Semester II,1.5
77,N230393,Network Theory,23EE1201,PCC-3,E1,EEE,2025-26,Semester II,4
78,N210058,Robotics Laboratory,23EC2285,ESC-1,E2,ECE,2025-26,Semester II,2.5
79,N210058,Foundations to Artificial Intelligence,23EC2205,ESC-2,E2,ECE,2025-26,Semester II,1
80,N210058,Communication Systems-1,23EC2201,PCC-1,E2,ECE,2025-26,Semester II,4
81,N210058,Communication Systems-1 Lab,23EC2281,PCC-2,E2,ECE,2025-26,Semester II,1.5
82,N210058,Digital System Design,23EC2202,PCC-3,E2,ECE,2025-26,Semester II,3
83,N210058,Digital System Design Lab,23EC2282,PCC-4,E2,ECE,2025-26,Semester II,1.5
84,N210058,Linear Integrated Circuits,23EC2203,PCC-5,E2,ECE,2025-26,Semester II,4
85,N210058,Linear Integrated Circuits Lab,23EC2283,PCC-6,E2,ECE,2025-26,Semester II,1.5
86,N210058,Electromagnetic Waves & Guided Media,23EC2204,PCC-7,E2,ECE,2025-26,Semester II,4
